의견1,의견2,의견3,의견4
상담 시 친근한 설명 바람,,,
상담원 법적 지식 부족으로 교육 필요함,,,
대기시간이 길었음,,,
대기시간이 길었음,,,
대기시간이 길음,,,
빠른 상담사 연결 바람,,,
연결이 느림,,,
연결이 느림,,,
연결이 느림,,,
연결 속도가 느림,,,
연결이 어려움,,,
연결이 어려움,,,
연결이 어려움,,,
"전문용어 자제 요청, 고객 이해 쉽게 설명 바람",,,
콜센터 이용 절차 복잡함,,,
통일된 답변을 해야 함,,,
ARS 메뉴 복잡함,상담사 연결 지연됨,,
ARS 이용 불편함,이용 편의성 향상 요청됨,,
ARS 안내멘트가 유료이며 너무 길다고 함,상담사 연결이 빠름,,
ARS 이용 과정이 불편함,,,
ARS 이용 복잡함,,,
ARS 이용이 불편함,,,
ARS 이용이 불편함,,,
ARS 메뉴 복잡함,원하는 상담번호 알 수 없음,,
ARS 안내 중 상담원 연결이 늦게 나옴,,,
ARS 연결 시간이 오래 걸림,,,
ARS 연결 멘트가 너무 길다고 함,,,
ARS 이용 과정 불편함,,,
ARS 이용이 불편함,,,
ARS 이용 불편함,대기 시간 길음,,
ARS 사용이 처음에 어려움,,,
ars가 혼란스러워짐,,,
계약내용 변경 문의 시 부정확한 안내로 시간 낭비됨,,,
고객 의견을 다 듣고 설명 안 하고 메뉴대로 설명함,,,
고객 요구에 비해 체계가 부족함,,,
나이 들어 전문용어 이해 어려움,쉬운 설명 요청함,,
납입증명에 인감증명서 제출이 번거로움,,,
내가 원하는 메뉴까지 가는 시간이 너무 길음,,,
내용을 더 자세히 알려달라 요청됨,,,
오래 기다림,,,
다른 보험사는 확인 쉬운데 한화는 안 됨,한화는 개인정보 확인이 어려워 팩스 필요함,이로 인해 불편함을 느낌,
"다른 회사는 메일 가능, 한화는 팩스 불편함",,,
담당자 연락이 없음,요청 해결 능력이 부족함,,
대기 시간이 길 때가 있음,,,
대기 시간이 길다고 느낌,,,
대기시간이 길었음,,,
대기시간이 길음,,,
대기시간 길 때 번호 남기면 전화해줬으면 좋겠음,,,
대기시간이 너무 길음,,,
대기시간이 길어 불편함,,,
대기시간이 길음,,,
친절하지 않았음,,,
디지털 상담이 불편함,전화 연결이 늦음,버튼식 연결이 바로 넘어가면 좋겠음,
마지막 상담사는 설명을 잘해줌,처음 두 상담원은 설명 부족함,,
상담사가 신청서류 관련 정보를 제공하지 않음,,,
메뉴 길어 상담사 연결 1번으로 개선 요망,,,
메뉴를 고객이 알기 쉽게 업무별로 구분할 필요 있음,,,
메뉴얼이 바로 넘어가야 함,,,
메뉴가 길음,,,
빨리 끊길 바라는 태도 느껴짐,,,
문의사항에 대한 사전지식이 없으면 다른 사람 연결해야 함,,,
문자 보내주기로 했으나 보내지 않음,,,
바로 처리되지 않아 상담사 연결 필요함,대기시간이 불편함,,
콜센터를 통한 해결 범위 확대 필요함,,,
백내장 수술 청구 시 불만족스러움,,,
버튼을 누르고 들어가면 상담사 연결이 어려움,ARS가 불필요함,,
"법인 처리 시 메일 사용 불가, 팩스만 가능함",인터넷으로 출력 지원 필요함,,
ARS 선택 시 화면 멈춤 현상 자주 발생하여 점검 필요함,,,
보이는 ARS가 더 불편함,,,
보이는 ARS 어플이 복잡함,카톡으로 쉽게 접근 가능하길 바람,,
보장성에 대한 고객 입장 설명 필요함,,,
보험 관련 설명을 쉽게 해달라고 요청함,,,
보험금 신청 시 추가 서류 필요하면 재접수해야 함,새 번호 배정이 불편하고 번거로움,업무 처리 방법 변경 요청했으나 거절됨,
보험금 청구 후 3주째 연락 없음,,,
보험금 청구 시 담당자가 자주 바뀜,업무 내용을 카톡으로 자세히 공지해줄 것을 요청함,,
보험금 청구 시 서류 부족으로 재전송 요청받음,재전송으로 시간과 요금 발생함,정확한 안내 부족으로 불편함,
보험 청구 시 콜센터 이용 않고 홈페이지로 신청 원함,,,
다른 부서로 넘기는 건 인정하나 피드백이 늦음,,,
부탁 시 상담원 응답이 느림,,,
비급여 설명 부재임,서류 관련 설명 부족함,,
빠른 연결이 필요함,,,
빠른 상담 대기시간 길어짐,,,
빠른 연결됨,,,
빠른 연결임,,,
빠른 연결임,,,
빠른 연결됨,,,
빠른 연결임,,,
사고 보상금 지급시 상세내역을 어플에서 확인 필요함,,,
상담사 대기시간이 너무 길음,,,
상담사 업무 연수를 자주 실시함,모든 상담사가 정확한 안내 제공됨,,
상담사 연결 개선 필요함,,,
상담사 연결이 너무 느림,,,
상담사 연결이 느림,,,
상담사 연결이 늦어짐,,,
상담사 연결이 더 빠르게 되도록 노력 요청함,,,
상담사 연결 지연됨,,,
상담사 연결 지연됨,,,
상담사 연결 지연됨,,,
상담사의 전문지식이 더 필요함,,,
상담사의 친절함 필요,,,
상담사 직통연결됨,,,
상담사가 고객의 말을 가끔 못 알아듣음,,,
상담사가 고객의 말을 이해 못 함,상담사가 북한 사람으로 착각됨,다른 상담원으로 교체 요청했으나 불가능함,상황이 매우 불편했음
상담사 증원으로 대기시간 단축 필요함,,,
상담사마다 태도 차이 있음,통화 시 목소리가 영혼없이 친절함,같은 질문에 짜증내는 상담사도 있음,
